Name,Address,Latitude,Longitude
Oval Integrated Services Limited,"Left wing, Last floor, No. 4, Mekong Crescent, Off Euphrates St, Abuja",9.0902026,7.4780535
ERCAS Integrated Solutions Limited,"3F3J+RC4, Abuja",9.054515799999999,7.481083699999999
The Digital Agency Limited,"1 Kumasi Cres, Abuja",9.0825836,7.477580199999999
Pinnacle Communications Limited,"4 Charles De-Gaulle Cl, Abuja",9.048358499999999,7.5106172
Aim Consultants Ltd,"Plot 1421 Independence Ave, Abuja",9.0441696,7.4794448
ENROYALE Global Services Limited,"29 Agadez Cres, Abuja",9.0719785,7.472186799999998
TheOutsource Company Limited,"Zone B03, 16 Biodun Olorunfemi St, Ankuru",9.056614999999999,7.4406401
THEBEZ GLOBAL RESOURCES LTD,"Hall 1, 6th Floor, Tsukunda House, Off Constitution Ave, opposite World Trade Center, Abuja",9.0499045,7.47534
Rural Homes LTD,"P.O.W mafemi crescent,, Off Solomon Lar Road,, Ojimadu Nwaeze House, Abuja",9.069358399999999,7.4346766
L & B Kitchen And Investments Limited,"River plate garden, beside central mosque, Abuja",9.0637934,7.489431600000001
MacNel Consult Ltd.,"Suit A03, (Marina Court Plot, 252A Herbert Macaulay Way, Abuja",9.0513611,7.4855434
RoyalShield Investment Limited,"Phase 2, Abuja",9.0445985,7.4732755
Techspecialist Consulting Limited,"Goldlink House, 2 Harare Steet, Off Rabat Street, Zone 6, 2 Harare St, Abuja",9.0671488,7.458986
Rolling Bricks Limited,"8 Negro Cres, Abuja",9.093145699999999,7.477351199999999
Queensway Aluminium Company Limited,734 Kade Street Abuja Abuja Municipal,9.0829069,7.468791899999999
Trustfund Pensions Limited,"9th Floor, Labour House, Plot 820/821, P.M.B 254, Central Business District, Abuja, FCT",9.053781,7.4967608
Aliguya Limited,"9 Rima St, Abuja",9.0975472,7.496611000000001
Tempkers Limited Abuja,"Suite 8 Bida Street by Ajeokuta Street. Area 2 Section 2, Abuja",9.034037999999999,7.476766599999999
NetConstruct Nigeria Limited,"Plot 596 Independence Ave, Abuja",9.0439324,7.4785566
Salini Nigeria Limited,"Plot 16 Blantyre Cres, Abuja",9.072952899999999,7.485401500000001
Gloomme Business Connections Limited,"8 Zambezi Cres, Abuja",9.0791726,7.4904167
DUTCH DU ROYALE LIMITED,"113,WAY E,THEORDAK PLAZA, Constitution Ave, opp. NATIONAL HOSPITAL, Abuja",9.0499045,7.47534
CBC GLOBAL CIVIL AND BUILDING CONSTRUCTION NIG LTD,"KATAMPE EXTENSION ROAD, Diplomatic Dr, Abuja",9.0388953,7.4743565
Chi Ltd.,"534 Zone 800, Center Area, Abuja, FCT",9.0429024,7.471126900000001
SED-Ltd Office.,"SED-Ltd Office, Sunrise Hills, Aso",9.040482899999999,7.531981
Management Edge Limited,"Suite A03, 3F2P+J5F Maina Court, Plot 252A Herbert Macaulay Way, Abuja",9.0516011,7.4854264
JMT Plus Integrated Limited,"2nd Floor, 493 Abogo Largema St, Abuja",9.0466777,7.475017899999999
